id_user,nume,prenume,nume_utiz,email,adresa,data_nasterii,cnp,leg,parola,login
NULL,Dumitrescu,Crin,cgeorgescu,xtomescu@email.ro,"Drumul Laurian Manole Nr. 736 Bl. 79  Sc. 31 Ap. 673
Sebis, 414633",1963-10-27,NULL,NULL,deleniti5658,1
NULL,Diaconu,Sandu,ngheorghiu,voineamarina@kappa.ro,"Intrarea Dumitrescu Nr. 64
Baraolt, 375072",2008-04-09,NULL,NULL,itaque2626,1
NULL,Tudor,Gratiela,rsuciu,aaneilaurentia@email.ro,"Strada Manole
Topoloveni, 273550",1978-08-16,NULL,NULL,aliquid9582,0
NULL,Suciu,Francisc,tdiaconu,kababei@post.ro,"Strada Cristea Nr. 89 Bl. 34  Sc. 86 Ap. 441
Brasov, 558999",1926-01-31,NULL,NULL,corporis2593,0
NULL,Ene,Victor,eftimiecristobal,bmanole@gmail.com,"Drumul Daria Niță Nr. 26
Sannicolau Mare, 722956",1914-05-11,NULL,NULL,sed9753,1
NULL,Preda,Dida,odobre,ddinu@email.ro,"Aleea Ene Nr. 93
Beclean, 462332",1909-01-01,NULL,NULL,consequuntur3681,0
NULL,Popa,Corneliu,mocanudariana,malbu@acasa.ro,"Bulevardul Barbu Nr. 10
Sacele, 116601",1940-11-15,NULL,NULL,sit1398,0
NULL,Nistor,Zaharia,enemes,aaneilaurentia@kappa.ro,"Intrarea Aanei Nr. 269
Piatra-Neamt, 372885",1918-10-22,NULL,NULL,quasi2516,1
NULL,Aanei,Adelaida,ttabacu,despinatoma@email.ro,"Intrarea Dochioiu
Galati, 974136",1997-09-17,1970524172065,709158,rem5124,0
NULL,Nita,Lucretia,fababei,tomescueugen@141.ro,"Soseaua Diaconescu Nr. 288
Salonta, 212936",2021-10-03,NULL,NULL,dolorem6925,1
NULL,Ene,Iosefina,oprealuana,naanei@gmail.com,"Drumul Mazilescu Nr. 856
Rucar, 396558",2004-02-03,NULL,NULL,odio1213,0
NULL,Toma,Angel,emilia69,anabela33@zzup.ro,"Strada Lică Ababei Nr. 447 Bl. 93  Sc. 95 Ap. 998
Horodnic de Sus, 699822",1923-07-28,NULL,NULL,error4137,1
NULL,Dinu,Anabela,suciusimona,carolinadinu@gmail.com,"Strada Ababei Nr. 103 Bl. 15  Sc. 34 Ap. 651
Alba Iulia, 822960",1915-06-26,NULL,NULL,suscipit6852,0
NULL,Ionescu,Madalin,ionitavaleriu,mocanurafila@kappa.ro,"Bulevardul Popescu
Vicovu de Jos, 108630",1943-12-30,NULL,NULL,hic4815,0
NULL,Florea,Stefan,suciuelvira,basarab97@post.ro,"Intrarea Pop
Baciu, 656261",2008-08-23,NULL,NULL,temporibus3968,0
NULL,Puscasu,Serban,antonelasuciu,axintenistor@141.ro,"Drumul Gheorghiu
Marginea, 544239",1910-05-28,NULL,NULL,expedita6574,1
NULL,Popescu,Flavia,stancufloarea,eneionela@kappa.ro,"Soseaua Suciu Nr. 41
Babeni, 279195",2004-09-21,NULL,NULL,repellendus9499,1
NULL,Stoica,Doina,cristeavioleta,demetraoprea@kappa.ro,"Soseaua Achim Tudor Nr. 58 Bl. 82  Sc. 12 Ap. 498
Dumbravita, 903229",1970-09-11,NULL,NULL,molestias5663,1
NULL,Dobre,Lazar,albert94,severnistor@email.ro,"Aleea Anabela Ionescu Nr. 725 Bl. 12  Sc. 23 Ap. 387
Podu Iloaiei, 582148",1977-09-22,NULL,NULL,occaecati5597,1
NULL,Stanescu,Theodor,tiberiaflorea,rionescu@141.ro,"Soseaua Diaconescu Nr. 117 Bl. 56  Sc. 82 Ap. 632
Rucar, 856952",1962-05-19,NULL,NULL,omnis2997,1
NULL,Preda,Petre,eftimiealberta,xpuscasu@post.ro,"Strada Dobre Nr. 607 Bl. 59  Sc. 37 Ap. 548
Vatra Dornei, 652980",2006-02-26,NULL,NULL,temporibus8103,1
NULL,Dobre,Lili,carminamocanu,roxanamarin@post.ro,"Strada Stănescu Nr. 111
Lupeni, 430003",2021-11-10,NULL,NULL,quia2165,0
NULL,Stan,Monalisa,talbu,angelpopa@141.ro,"Aleea Stelian Nistor
Gherla, 813014",2023-12-10,8840613176334,867183,numquam5709,0
